Noise type,Start Pos,0000,0001,0010,0011,0100,0101,0110,0111,1000,1001,1010,1011,1100,1101,1110,1111
P,0000,3211,247810,247922,953,247252,1349,926,4,247097,1103,1424,6,938,3,2,0
S,0000,35846,230702,231322,6076,232082,6169,6156,112,232600,6138,6242,151,6165,121,117,1
T,0000,34113,218577,222176,11827,223186,13742,12345,550,224540,13067,12415,499,11819,591,532,21
PS,0000,39004,229072,229703,7044,229112,7402,6904,161,229598,7050,7395,184,7054,157,152,8
PT,0000,36873,216947,219710,12519,220381,14900,13321,633,222167,13901,13775,616,12946,642,645,24
ST,0000,64939,204063,207475,16258,207516,17853,16872,1070,210001,17363,17097,1079,16282,1073,993,66
PST,0000,66808,202709,205822,17052,205891,18600,17658,1206,208019,17849,17849,1059,17134,1163,1119,62
IDEAL,0000,0,250000,250000,0,250000,0,0,0,250000,0,0,0,0,0,0,0
P,1111,0,8,9,930,3,1395,1098,248134,2,956,1320,247358,898,247251,247445,3193
S,1111,39,948,924,17238,947,17271,17108,219981,993,17260,17125,219943,17114,221122,220190,11797
T,1111,35,735,741,14457,808,14950,15412,221928,787,14810,16081,220286,14071,219365,216596,28938
PS,1111,72,1086,1068,17660,1077,18164,17970,218405,1056,17685,18219,218580,17643,218295,218683,14337
PT,1111,38,842,908,15210,860,16169,16244,219324,892,15810,17105,218509,14609,217860,214403,31217
ST,1111,323,3048,3175,28598,3126,28733,29240,196661,3002,28774,29138,194853,27782,195543,193069,34935
PST,1111,329,3212,3294,28547,3454,29688,29930,195900,3223,29263,30482,193714,28341,192237,190929,37457
IDEAL,1111,0,0,0,0,0,0,0,250000,0,0,0,250000,0,250000,250000,0
